ts,x,y,z,w
1612301607.7765765,0.0,0.0,0.0,0.0
1612301607.8266757,0.0,0.0,0.0,0.0
1612301607.8767781,0.0,0.0,0.0,0.0
1612301607.9268515,0.0,0.0,0.0,0.0
1612301607.9769807,0.0,0.0,0.0,0.0
1612301608.027082,0.0,0.0,0.0,0.0
1612301608.0771585,0.0,0.0,0.0,0.0
1612301608.1272926,0.0,0.0,0.0,0.0
1612301608.1773987,0.0,0.0,0.0,0.0
1612301608.2275376,0.0,0.0,0.0,0.0
1612301608.2776494,0.0,0.0,0.0,0.0
1612301608.3277864,0.0,0.0,0.0,0.0
1612301608.3782542,0.0,0.0,0.0,0.0
1612301608.4284022,0.0,0.0,0.0,0.0
1612301608.4784844,0.0,0.0,0.0,0.0
1612301608.5286129,0.0,0.0,0.0,0.0
1612301608.5787718,0.0,0.0,0.0,0.0
1612301608.6288695,0.0,0.0,0.0,0.0
1612301608.6789615,0.0,0.0,0.0,0.0
1612301608.7290857,0.0,0.0,0.0,0.0
1612301608.7791939,0.0,0.0,0.0,0.0
1612301608.8293629,0.0,0.0,0.0,0.0
1612301608.8794801,0.0,0.0,0.0,0.0
1612301608.929596,0.0,0.0,0.0,0.0
1612301608.9796789,0.0,0.0,0.0,0.0
1612301609.0297906,0.0,0.0,0.0,0.0
1612301609.079951,0.0,0.0,0.0,0.0
1612301609.1300695,0.0,0.0,0.0,0.0
1612301609.1801898,0.0,0.0,0.0,0.0
1612301609.2303097,0.0,0.0,0.0,0.0
1612301609.2803946,0.0,0.0,0.0,0.0
1612301609.3305106,0.0,0.0,0.0,0.0
1612301609.380644,0.0,0.0,0.0,0.0
1612301609.4307656,0.0,0.0,0.0,0.0
1612301609.4808862,0.0,0.0,0.0,0.0
1612301609.531011,0.0,0.0,0.0,0.0
1612301609.5811265,0.0,0.0,0.0,0.0
1612301609.6312294,0.0,0.0,0.0,0.0
1612301609.6813524,0.0,0.0,0.0,0.0
1612301609.7314436,0.0,0.0,0.0,0.0
1612301609.7815661,0.0,0.0,0.0,0.0
1612301609.8316474,0.0,0.0,0.0,0.0
1612301609.881786,0.0,0.0,0.0,0.0
1612301609.9318624,0.0,0.0,0.0,0.0
1612301609.9819856,0.0,0.0,0.0,0.0
